Scenario,Target_Step_Load,Throughput_RPS,Avg_Latency_ms,P95_Latency_ms,Error_Rate_%
1. Redis Only,100,46369.65,1.7443,1.8424,0.00
1. Redis Only,500,165215.25,0.5423,1.1683,0.00
1. Redis Only,1000,231664.67,0.3935,0.6174,0.00
1. Redis Only,2500,211706.17,0.4380,2.2280,0.00
1. Redis Only,5000,283274.08,0.3181,0.9050,0.00
1. Redis Only,10000,347073.58,0.2645,0.6804,0.00
1. Redis Only,25000,348409.12,0.2710,0.7001,0.00
1. Redis Only,50000,387211.94,0.2432,0.4206,0.00
1. Redis Only,100000,534479.74,0.1740,0.2051,0.00
2. Fabric Only,100,35.10,1609.8745,2732.8175,0.00
2. Fabric Only,500,716.32,105.0306,170.3766,0.00
2. Fabric Only,1000,1048.85,68.0695,109.6529,0.00
2. Fabric Only,2500,1247.36,56.0116,74.0502,0.00
2. Fabric Only,5000,1078.94,65.1341,104.9736,0.00
2. Fabric Only,10000,1218.38,57.9348,82.1770,0.00
2. Fabric Only,25000,1260.91,55.1017,79.0547,0.00
2. Fabric Only,50000,1071.03,65.5758,110.5744,0.00
2. Fabric Only,100000,1084.34,65.2409,111.6596,0.00
3. BC-BLPM (Sync),100,978.87,87.0606,97.9436,0.00
3. BC-BLPM (Sync),500,1124.92,79.4873,94.4949,0.00
3. BC-BLPM (Sync),1000,1251.44,70.3926,81.4485,0.00
3. BC-BLPM (Sync),2500,1236.26,72.3127,115.4375,0.00
3. BC-BLPM (Sync),5000,1216.24,72.8497,103.6337,0.00
3. BC-BLPM (Sync),10000,1002.16,87.8523,137.0197,0.00
3. BC-BLPM (Sync),25000,581.77,102.8717,158.9105,0.00
3. BC-BLPM (Sync),50000,1012.92,88.0917,162.2833,0.00
3. BC-BLPM (Sync),100000,1200.81,73.6807,102.2802,0.00
4. Proposed MLVM,100,11386.71,8.4635,8.4749,0.00
4. Proposed MLVM,500,142699.97,0.6706,0.8424,0.00
4. Proposed MLVM,1000,20757.40,4.7693,12.1042,0.00
4. Proposed MLVM,2500,128342.71,0.7586,2.1999,0.00
4. Proposed MLVM,5000,136540.83,0.7093,1.9300,0.00
4. Proposed MLVM,10000,130701.15,0.7446,1.4771,0.00
4. Proposed MLVM,25000,43260.89,2.2421,11.7321,0.00
4. Proposed MLVM,50000,78790.76,1.2256,1.8111,0.00
4. Proposed MLVM,100000,131761.23,0.7409,1.2998,0.00
