Scenario,Target_Step_Load,Throughput_RPS,Avg_Latency_ms,P99_Latency_ms,Error_Rate_%
1. Redis Only,100,111690.29,0.7651,0.8683,0.00
1. Redis Only,500,256129.83,0.3328,0.4036,0.00
1. Redis Only,1000,379338.78,0.2317,0.3192,0.00
1. Redis Only,2500,304692.26,0.3012,0.5868,0.00
1. Redis Only,5000,389944.67,0.2247,0.9023,0.00
1. Redis Only,10000,439803.68,0.2069,0.5863,0.00
1. Redis Only,25000,124125.05,0.7386,11.2292,0.00
1. Redis Only,50000,532485.14,0.1745,0.5865,0.00
1. Redis Only,100000,560835.46,0.1658,0.5074,0.00
2. Fabric Only,100,41.36,1237.5385,2369.8807,0.00
2. Fabric Only,500,588.04,131.4498,248.9645,0.00
2. Fabric Only,1000,1094.40,65.1568,92.9677,0.00
2. Fabric Only,2500,1148.10,62.0221,100.8875,0.00
2. Fabric Only,5000,1252.87,55.4348,78.5738,0.00
2. Fabric Only,10000,1240.03,56.0011,89.4551,0.00
2. Fabric Only,25000,1277.43,54.0383,98.8898,0.00
2. Fabric Only,50000,1264.78,54.8075,102.3303,0.00
2. Fabric Only,100000,1236.88,56.4206,108.5701,0.00
3. BC-BLPM (Sync),100,195.81,488.7048,501.9288,0.00
3. BC-BLPM (Sync),500,590.74,158.1190,305.2135,0.00
3. BC-BLPM (Sync),1000,1091.49,83.5782,136.4762,0.00
3. BC-BLPM (Sync),2500,1197.69,74.3787,127.7352,0.00
3. BC-BLPM (Sync),5000,1259.46,69.8359,92.9658,0.00
3. BC-BLPM (Sync),10000,1019.34,87.5943,242.1832,0.00
3. BC-BLPM (Sync),25000,1244.35,71.1948,124.5892,0.00
3. BC-BLPM (Sync),50000,1244.79,71.0832,115.9257,0.00
3. BC-BLPM (Sync),100000,1130.58,78.7147,200.2019,0.00
4. Proposed MLVM,100,9248.16,7.0438,10.8047,0.00
4. Proposed MLVM,500,32247.23,3.0831,8.8894,0.00
4. Proposed MLVM,1000,133320.00,0.7341,1.2321,0.00
4. Proposed MLVM,2500,44916.34,2.2121,22.8030,0.00
4. Proposed MLVM,5000,202097.77,0.4644,0.7859,0.00
4. Proposed MLVM,10000,118886.75,0.8271,11.6258,0.00
4. Proposed MLVM,25000,172719.28,0.5630,3.9551,0.00
4. Proposed MLVM,50000,160064.92,0.6114,3.0052,0.00
4. Proposed MLVM,100000,157666.64,0.6198,4.7554,0.00
